localities.ContainsCrossroad;alpha;omega
cc1;Höhr;ZubringerHöhr
cc2;Koblenz;ZubringerKoblenz
cc3;Koblenz;v1
cc4;Koblenz;v2
cc5;Koblenz;v3
cc6;Koblenz;v4
cc7;Koblenz;v5
cc8;Koblenz;v6
cc9;Koblenz;v7
cc10;Koblenz;v8
cc11;Koblenz;v9
cc12;Koblenz;v10
cc13;Koblenz;v11
cc14;Koblenz;v12
cc15;Koblenz;v13
cc16;Koblenz;v14
cc17;Koblenz;v15
cc18;Koblenz;v16
cc19;Koblenz;v17
cc20;Koblenz;v18
cc21;Koblenz;v19
cc22;Koblenz;v20
cc23;Koblenz;v21
cc24;Koblenz;v22
cc25;Koblenz;v23
cc26;Koblenz;v24
cc27;Koblenz;v25
cc28;Koblenz;v26
cc29;Koblenz;v27
cc30;Koblenz;v28
cc31;Koblenz;v29
cc32;Koblenz;v30
cc33;Koblenz;v31
cc34;Koblenz;v32
cc35;Koblenz;v33
cc36;Koblenz;v34
cc37;Koblenz;v35
cc38;Koblenz;v36
cc39;Koblenz;v37
cc40;Koblenz;v38
cc41;Koblenz;v39
cc42;Koblenz;v40
cc43;Koblenz;v41
cc44;Koblenz;v42
cc45;Koblenz;v43
cc46;Koblenz;v44
cc47;Koblenz;v45
cc48;Koblenz;v46
cc49;Koblenz;v47
cc50;Koblenz;v48
cc51;Koblenz;v49
cc52;Koblenz;v50
cc53;Koblenz;v51
cc54;Koblenz;v52
cc55;Koblenz;v53
cc56;Koblenz;v54
cc57;Koblenz;v55
cc58;Koblenz;v56
cc59;Koblenz;v57
cc60;Koblenz;v58
cc61;Koblenz;v59
cc62;Koblenz;v60
cc63;Koblenz;v61
cc64;Koblenz;v62
cc65;Koblenz;v63
cc66;Koblenz;v64
cc67;Koblenz;v65
cc68;Koblenz;v66
cc69;Koblenz;v67
cc70;Koblenz;v68
cc71;Koblenz;v69
cc72;Koblenz;v70
cc73;Koblenz;v71
cc74;Koblenz;v72
cc75;Koblenz;v73
cc76;Koblenz;v74
cc77;Koblenz;v75
cc78;Koblenz;v76
cc79;Koblenz;v77
cc80;Koblenz;v78
cc81;Koblenz;v79
cc82;Koblenz;v80
cc83;Koblenz;v81
cc84;Koblenz;v82
cc85;Koblenz;v83
cc86;Koblenz;v84
cc87;Koblenz;v85
cc88;Koblenz;v86
cc89;Koblenz;v87
cc90;Koblenz;v88
cc91;Koblenz;v89
cc92;Koblenz;v90
cc93;Koblenz;v91
cc94;Koblenz;v92
cc95;Koblenz;v93
cc96;Koblenz;v94
cc97;Koblenz;v95
cc98;Koblenz;v96
cc99;Koblenz;v97
cc100;Koblenz;v98
cc101;Koblenz;v99
cc102;Koblenz;v100
cc103;Koblenz;v101
cc104;Koblenz;v102
cc105;Koblenz;v103
cc106;Koblenz;v104
cc107;Koblenz;v105
cc108;Koblenz;v106
cc109;Koblenz;v107
cc110;Koblenz;v108
cc111;Koblenz;v109
cc112;Koblenz;v110
cc113;Koblenz;v111
cc114;Koblenz;v112
cc115;Koblenz;v40a
cc116;Koblenz;Saarkreisel
cc117;Koblenz;KO-Pfaffendorf
cc118;Koblenz;KO-Horchheim
cc119;Montabaur;ZubringerMontabaur
cc120;Koblenz;Münzplatz
cc121;Koblenz;Jesuitenplatz
cc122;Koblenz;Goerresplatz
cc123;Koblenz;AmPlan
cc124;Koblenz;Mosel-Parkplatz
cc125;Koblenz;LöhrCenter
cc126;AP-Frankfurt;ZubringerFrankfurtFlughafen
cc127;Frankfurt;ZubringerFrankfurt
cc128;Koblenz;KS-Brücke-Süd
cc129;Koblenz;KS-Brücke-Nord
cc130;Winningen;ZentrumWinningen
cc131;AP-Winningen;ZubringerWinningenFlughafen
cc132;AP-Hahn;ZubringerHahnFlughafen
cc133;Lautzenhausen;LautzenhausenZentrum
