connections.Street;alpha;omega;name;oneway;length
s1;LützelErsteKreuzung;v1;"Baldinbrücke";f;400
s2;v1;v2;"Burgstraße";f;80
s3;v2;Münzplatz;"Paradies";f;44
s4;v2;v3;"Burgstraße";f;50
s5;v3;v4;"Florenzmarkt";f;67
s6;v4;v3;"Florenzmarkt";t;80
s7;v4;v5;"Florenzmarkt";f;31
s8;v5;v6;"Auf dem Danne";f;17
s9;v6;v7;"Auf dem Danne";f;97
s10;v7;v8;"Am Alten Hospital";f;84
s11;v8;v9;"Am Alten Hospital";f;156
s12;v9;v10;"Am Alten Hospital";f;103
s13;v10;v11;"Kastorhof";f;120
s14;v36;v35;"Peter-Altmeier-Ufer";f;93
s15;v35;v34;"Peter-Altmeier-Ufer";f;185
s16;v34;v33;"Peter-Altmeier-Ufer";f;72
s17;v34;Mosel-Parkplatz;"";f;2
s18;v32;v31;"Kastorstraße";t;262
s19;v33;v37;"Danziger Freiheit";f;148
s20;v37;v29;"Konrad-Adenauer-Ufer";f;455
s21;v29;v64;"Konrad-Adenauer-Ufer";f;279
s22;v21;v7;"Kornforte";f;50
s23;v7;v30;"Kornforte";f;76
s24;v30;v26;"Kornforte";f;26
s25;Jesuitenplatz;v22;"Eltzerhostraße";f;45
s26;v22;v8;"Eltzerhostraße";f;87
s27;v8;v31;"Eltzerhostraße";f;79
s28;v31;v35;"Eltzerhostraße";f;25
s29;v21;v22;"Görresstraße";f;96
s30;v38;v39;"Altenhof";f;47
s31;v39;v40a;"Altenhof";f;70
s32;v44;v40a;"Marktstraße";f;59
s33;v40a;v12;"Marktstraße";f;18
s34;v12;Münzplatz;"Münzstraße";f;22
s35;Münzplatz;v3;"Münzstraße";f;50
s36;v43;v44;"Altengraben";f;113
s37;v44;AmPlan;"Am Plan";f;11
s38;AmPlan;v45;"Am Plan";f;31
s39;v45;v46;"Entenpfuhl";f;46
s40;v46;v49;"Entenpfuhl";f;29
s41;v49;v18;"Entenpfuhl";f;14
s42;v18;v19;"Entenpfuhl";f;29
s43;v19;v20;"Entenpfuhl";f;26
s44;v20;v21;"Entenpfuhl";f;60
s45;v12;v13;"An der Liebfrauenkirche";f;65
s46;v13;v16;"An der Liebfrauenkirche";f;29
s47;v16;v17;"An der Liebfrauenkirche";f;19
s48;v41;v45;"Entenpfuhl";f;50
s49;v17;v18;"Braugass";f;80
s50;v13;v14;"Gemüsegasse";f;39
s51;v16;v15;"Mehlgasse";f;39
s52;v20;Jesuitenplatz;"Firmungsstraße";f;28
s53;Jesuitenplatz;Goerresplatz;"Firmungsstraße";f;109
s54;Goerresplatz;v27;"Rheinstraße";f;95
s55;v27;v29;"Rheinstraße";f;133
s56;v19;Jesuitenplatz;"Jesuitengasse";f;28
s57;v24;v23;"Nagelgasse";f;104
s58;v23;v9;"Nagelgasse";f;61
s59;v23;v25;"Nagelgasse";f;50
s60;v25;Goerresplatz;"Nagelgasse";f;56
s61;v25;v26;"Pastorpfaffenstraße";f;115
s62;v26;v10;"Pastorpfaffenstraße";f;57
s63;v26;v27;"Pastorpfaffenstraße";f;150
s64;v10;v32;"Pastorpfaffenstraße";f;56
s65;v32;v33;"Pastorpfaffenstraße";f;61
s66;v50;v51;"Am Wöllershof";f;99
s67;v51;v52;"Pfuhlgasse";f;147
s68;v52;v53;"Clemensstraße";f;69
s69;v53;v54;"Clemensstraße";f;69
s70;v54;v56;"Clemensstraße";f;193
s71;v62;v56;"Clemensplatz";t;122
s72;v62;v63;"Reichenspergerplatz";f;95
s73;v50;v43;"Hohenfelderstraße";f;122
s74;v43;v38;"Hohenfelderstraße";f;41
s75;v38;v1;"An der Moselbrücke";f;99
s76;v51;v44;"Löhrstraße";f;99
s77;v52;v48;"Görgensstraße";f;65
s78;v48;v45;"Görgensstraße";f;39
s79;v54;v55;"Gymnasialstraße";f;62
s80;v55;Jesuitenplatz;"Gymnasialstraße";f;122
s81;v55;v57;"Schanzenpforte";t;189
s82;v57;Goerresplatz;"Poststraße";t;56
s83;v56;v57;"Poststraße";t;53
s84;Goerresplatz;v58;"Gerichtsstraße";f;97
s85;v66;v62;"Karmeliterstraße";t;58
s86;v62;v59;"Karmeliterstraße";f;65
s87;v59;v58;"Karmeliterstraße";f;41
s88;v58;v27;"Karmeliterstraße";f;108
s89;v59;v61;"Im Vogelsang";f;88
s90;v61;v60;"Regierungsstraße";f;58
s91;v61;v63;"Regierungsstraße";f;66
s92;v63;v65;"Regierungsstraße";f;104
s93;v68;v67;"Stresemannstraße";t;83
s94;v67;v66;"Stresemannstraße";t;38
s95;v66;v65;"Stresemannstraße";f;98
s96;v65;v64;"Stresemannstraße";f;67
s97;v80;v81;"Hohefelderstraße";f;107
s98;v81;v82;"Hohefelderstraße";f;114
s99;v81;v82;"";f;146
s100;v82;v50;"Hohefelderstraße";f;104
s101;v90;v80;"Löhrstraße";f;177
s102;v80;v85;"Löhrstraße";f;136
s103;v85;v83;"Löhrstraße";f;54
s104;v83;v51;"Löhrstraße";f;112
s105;v80;v79;"Löhrrondell";t;60
s106;v91;v79;"Löhrrondell";t;53
s107;v92;v91;"Löhrrondell";t;81
s108;v91;v93;"Segemannstraße";t;141
s109;v93;v94;"Segemannstraße";t;144
s110;v95;v94;"Segemannstraße";t;61
s111;v95;v98;"Friedrichstraße";t;133
s112;v79;v78;"Schloßstraße";t;137
s113;v78;v73;"Schloßstraße";f;144
s114;v73;v72;"Schloßstraße";t;104
s115;v96;v93;"Viktoriastraße";f;109
s116;v93;v78;"Viktoriastraße";f;66
s117;v78;v77;"Viktoriastraße";f;83
s118;v77;v76;"Viktoriastraße";f;95
s119;v76;v52;"Viktoriastraße";f;100
s120;v54;v75;"Casinostraße";t;80
s121;v75;v74;"Casinostraße";t;108
s122;v74;v73;"Casinostraße";t;78
s123;v73;v94;"Casinostraße";t;72
s124;v94;v97;"Casinostraße";t;127
s125;v74;v78;"Luisenstraße";t;140
s126;v83;v84;"Altlöhrtor";f;72
s127;v84;v112;"Altlöhrtor";f;14
s128;v86;v84;"Altlöhrtor";f;31
s129;v86;v112;"Altlöhrtor";t;212
s130;v112;v76;"Altlöhrtor";f;76
s131;v68;v70;"Neustadt";t;134
s132;v70;v69;"Neustadt";t;69
s133;v69;v71;"Neustadt";t;63
s134;v71;v102;"Neustadt";t;49
s135;v102;v103;"Neustadt";t;38
s136;v103;v107;"Neustadt";t;103
s137;v107;v89;"Neustadt";t;46
s138;v89;v104;"Neustadt";t;129
s139;v104;v100;"Neustadt";t;133
s140;v100;v88;"Neustadt";t;50
s141;v88;v87;"Neustadt";t;65
s142;v87;v68;"Neustadt";t;130
s143;v70;v72;"Neustadt";t;100
s144;v72;v71;"Neustadt";t;94
s145;v72;v69;"Neustadt";t;59
s146;v69;v88;"Neustadt";t;76
s147;v102;v98;"";t;177
s148;v99;v111;"";t;117
s149;v111;v101;"";t;55
s150;v101;v100;"";t;56
s151;v111;v103;"";t;89
s152;v104;v105;"";t;122
s153;v89;v106;"";t;45
s154;v110;v106;"";t;58
s155;v106;v99;"";t;170
s156;v107;v108;"";t;154
s157;v98;v109;"";t;121
s158;v110;v89;"Rizzastraße";f;52
s159;v89;v109;"Julius-Wegeler-Straße";f;80
s160;v82;LöhrCenter;"";f;2
